,C10,SVEC,RAW
342,0.3894084,0.42521507,0.18537655
343,0.41059908,0.39823282,0.19116805
344,0.3623994,0.24075934,0.39684126
345,0.30438966,0.24395958,0.4516508
346,0.29019198,0.43547985,0.27432817
347,0.2820223,0.3363647,0.38161305
348,0.32827055,0.34952438,0.32220504
349,0.39581287,0.34079266,0.2633945
350,0.3864138,0.24299446,0.3705917
351,0.3356383,0.35140607,0.31295562
352,0.3373581,0.2982448,0.36439705
353,0.40334928,0.22438757,0.37226313
354,0.3386163,0.48397774,0.17740591
355,0.3647465,0.25585547,0.37939805
356,0.4284062,0.39997485,0.17161897
357,0.25766698,0.47440347,0.26792955
358,0.19583036,0.35237992,0.4517897
359,0.36532992,0.31084207,0.32382798
360,0.40770695,0.27509025,0.31720287
361,0.40213987,0.47855568,0.11930442
362,0.20491266,0.41581225,0.37927508
363,0.39425665,0.32323828,0.28250512
364,0.43529594,0.3931055,0.17159857
365,0.4715523,0.3420004,0.18644734
366,0.426889,0.29978713,0.2733239
367,0.418441,0.31249547,0.26906353
368,0.22537167,0.38861114,0.3860172
369,0.400615,0.3390363,0.26034874
370,0.38017467,0.3948545,0.22497089
371,0.4179216,0.43397418,0.14810419
372,0.43280253,0.35963994,0.20755756
373,0.401455,0.4220527,0.17649232
374,0.23205294,0.27358198,0.49436507
375,0.24628124,0.4449697,0.3087491
376,0.47011125,0.3636675,0.16622123
377,0.21034358,0.41912282,0.3705336
378,0.40732816,0.25185123,0.34082064
379,0.2118062,0.14564916,0.6425446
380,0.20473687,0.20446852,0.5907946
381,0.43593666,0.23577301,0.32829037
382,0.3132163,0.2713815,0.4154022
383,0.15358698,0.37855518,0.46785784
384,0.2021016,0.2997959,0.49810258
385,0.34461987,0.14900856,0.5063716
386,0.15964602,0.30784476,0.53250927
387,0.34191063,0.27063814,0.38745126
388,0.36451548,0.29069033,0.34479418
389,0.3823854,0.23963101,0.3779836
390,0.32207462,0.42277926,0.25514612
391,0.27625299,0.34188035,0.38186663
392,0.23326449,0.41582355,0.35091197
393,0.3313378,0.392505,0.27615717
394,0.35016203,0.2918087,0.35802928
395,0.26435435,0.24112266,0.49452302
396,0.40808156,0.2727378,0.31918058
397,0.3729759,0.39362228,0.23340186
398,0.31488588,0.45090258,0.23421146
399,0.42262098,0.28773862,0.28964043
400,0.25416428,0.26089296,0.48494276
401,0.2825037,0.24983512,0.46766117
402,0.27559566,0.22975841,0.49464598
403,0.4191457,0.36471015,0.21614411
404,0.33653638,0.3648731,0.29859045
405,0.34750712,0.3111779,0.34131494
406,0.25889036,0.34530368,0.39580595
407,0.26398632,0.2564712,0.47954243
408,0.24530774,0.4949765,0.25971577
409,0.22004016,0.41620845,0.36375135
410,0.4547787,0.23109384,0.3141275
411,0.34485126,0.38396272,0.271186
412,0.2535171,0.45302057,0.29346234
413,0.37441227,0.36573815,0.25984952
414,0.393931,0.39786035,0.2082086
415,0.2939485,0.3250594,0.38099208
416,0.4099621,0.42829394,0.161744
417,0.41419217,0.4501863,0.13562147
418,0.3062949,0.3629737,0.33073145
419,0.36510256,0.3952637,0.23963372
420,0.42913434,0.24829172,0.32257387
421,0.42708674,0.23892426,0.33398902
422,0.41415194,0.2334078,0.35244027
423,0.4316665,0.34427306,0.22406043
424,0.39937553,0.3096693,0.29095525
425,0.21898372,0.46833068,0.31268558
426,0.14095339,0.3587733,0.50027335
427,0.17277068,0.38316545,0.44406387
